att,def,win
2,1,46.2
2,2,11.1
2,3,2.0
2,4,0.9
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
2,20,0.0
2,21,0.0
2,22,0.0
2,23,0.0
2,24,0.0
2,25,0.0
2,26,0.0
2,27,0.0
2,28,0.0
2,29,0.0
2,30,0.0
2,31,0.0
2,32,0.0
2,33,0.0
2,34,0.0
2,35,0.0
2,36,0.0
2,37,0.0
2,38,0.0
2,39,0.0
2,40,0.0
2,41,0.0
2,42,0.0
2,43,0.0
2,44,0.0
2,45,0.0
2,46,0.0
2,47,0.0
2,48,0.0
2,49,0.0
2,50,0.0
3,1,74.4
3,2,36.9
3,3,21.2
3,4,9.9
3,5,4.9
3,6,1.7
3,7,1.3
3,8,0.4
3,9,0.4
3,10,0.0
3,11,0.3
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
3,20,0.0
3,21,0.0
3,22,0.0
3,23,0.0
3,24,0.0
3,25,0.0
3,26,0.0
3,27,0.0
3,28,0.0
3,29,0.0
3,30,0.0
3,31,0.0
3,32,0.0
3,33,0.0
3,34,0.0
3,35,0.0
3,36,0.0
3,37,0.0
3,38,0.0
3,39,0.0
3,40,0.0
3,41,0.0
3,42,0.0
3,43,0.0
3,44,0.0
3,45,0.0
3,46,0.0
3,47,0.0
3,48,0.0
3,49,0.0
3,50,0.0
4,1,92.2
4,2,64.5
4,3,48.7
4,4,32.1
4,5,20.8
4,6,13.4
4,7,8.8
4,8,5.1
4,9,2.7
4,10,2.2
4,11,1.0
4,12,0.6
4,13,0.5
4,14,0.5
4,15,0.1
4,16,0.1
4,17,0.0
4,18,0.0
4,19,0.1
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
4,27,0.0
4,28,0.0
4,29,0.0
4,30,0.0
4,31,0.0
4,32,0.0
4,33,0.0
4,34,0.0
4,35,0.0
4,36,0.0
4,37,0.0
4,38,0.0
4,39,0.0
4,40,0.0
4,41,0.0
4,42,0.0
4,43,0.0
4,44,0.0
4,45,0.0
4,46,0.0
4,47,0.0
4,48,0.0
4,49,0.0
4,50,0.0
5,1,98.3
5,2,75.8
5,3,64.0
5,4,49.1
5,5,38.5
5,6,23.4
5,7,16.6
5,8,12.3
5,9,8.1
5,10,5.8
5,11,4.1
5,12,2.3
5,13,2.1
5,14,0.6
5,15,0.7
5,16,0.7
5,17,0.4
5,18,0.5
5,19,0.2
5,20,0.0
5,21,0.0
5,22,0.0
5,23,0.0
5,24,0.0
5,25,0.0
5,26,0.0
5,27,0.0
5,28,0.0
5,29,0.0
5,30,0.0
5,31,0.0
5,32,0.0
5,33,0.0
5,34,0.0
5,35,0.0
5,36,0.0
5,37,0.0
5,38,0.0
5,39,0.0
5,40,0.0
5,41,0.0
5,42,0.0
5,43,0.0
5,44,0.0
5,45,0.0
5,46,0.0
5,47,0.0
5,48,0.0
5,49,0.0
5,50,0.0
6,1,99.2
6,2,89.3
6,3,78.3
6,4,62.9
6,5,51.0
6,6,37.6
6,7,27.5
6,8,24.4
6,9,15.8
6,10,12.1
6,11,7.2
6,12,6.0
6,13,3.6
6,14,2.6
6,15,1.6
6,16,2.4
6,17,1.0
6,18,0.5
6,19,0.3
6,20,0.3
6,21,0.1
6,22,0.0
